Abbreviation,Full-Form,Type,Pronunciation
MMOI,Mathematical Mode of Inquiry,initialism,
MMQ,Metric Map Questionnaire,initialism,
MMS,Metropolitan Map Series; Minerals Management Service (U.S.); Multi-Mission Modular Spacecraft (U.S.),initialism,
MMSD,Metric Mapping Support Data,initialism,
MN,Magnetic north; Mine; Minnesota,initialism,
MNFS,Minor frame synchronization,initialism,
MNR,Ministry of Natural Resources (Ontario),initialism,
MNS,Multi-Navigator System (Brunton),initialism,
MO,Magnetic-optical disc; Member organization; Missouri; Model orientation,initialism,
MOA,Minute of angle,initialism,
MODIS,Moderate Resolution Imaging Spectroradiometer (or Spectrometer),initialism,
MODM,Multiple objectives decision-making,initialism,
MODN,Module name,initialism,
MOLA,Mars Orbital Laser Altimeter,acronym,
MOLDS,Inst. for Modernization of Land Data Systems,acronym,
MOMS,Modular Optoelectric Multispectral Scanner,acronym,
MOPU,Ministerio de Obras Publicas y Urbanismo (Spain),initialism,
MOS,Marine Observation Satellite; Multispectral Optoelectric Scanner,acronym,
MOSS,Map Overlay and Statistical System,acronym,
MOST,Moving Objects Spatio-Temporal,acronym,
MOUG,Map Online Users Group,initialism,
MP,Measuring point,initialism,
MPC,Minnesota Population Center,initialism,
MPE,Map Publishing Environment,initialism,
MPLIS,Multipurpose land information system(s),initialism,MP LIS
MPO,Multiproduct operation; Metropolitan planning organizations,initialism,
MPP,Multi-spectral scanner preprocessor,initialism,
MPRD,Modified Proportional Radial Displacement,initialism,
MPRM,Ministry of Petroleum and Mineral Resources (Saudi Arabia),initialism,
MPWUPH,"Ministry of Public Works, Urban Planning and Housing (Djibouti)",initialism,
MR,Monoscopic revision,initialism,
MRAC,Musee Royale de l'Afrique Centrale,initialism,
MRB,Missouri River Basin,initialism,
MRBC,Missouri River Basin Commission,initialism,
MRC,Mississippi River Commission; Map Reference Code (USGS),initialism,
MRD,Mineral Resources Div. (Manitoba); Mineral Resources Dept. (Fiji); McCloud Ranger District,initialism,
MRDB,Mapping Requirements Data Base System,initialism,
MRI,Metadata Reference Information; Mediamark Research Inc.,initialism,
MRIB,Marine Realms Information Bank,initialism,
MRIR,Medium Resolution Infrared Radiometer,initialism,
MRLA,Major Land Resource Area,initialism,
MRLU,Map Reproduction and Liaison Unit,initialism,
MRMS,Maritime Resources Management Service,initialism,
MRO,Mars Reconnnaissance Orbiter (NASA),initialism,
MRS,Multispectral Resource Sampler,initialism,
MRSA,Major River Systems Analysis,initialism,
MRSH,Marsh,initialism,
MRWS,Monoscopic Revision Workstation,initialism,
MS,Manuscript; Mean seasonal; Milli-second; Microsoft Corp.; Monochromatic Scanner; Mississippi,initialism,
MS-DOS,MicroSoft Disc Operating System,initialism,MS - DOS
MSA,Metropolitan statistical area; Mineralogical Society of America; Maritime Safety Agency (Japan),initialism,
MSC,Map Society of California; Mapping Science Committee (NRC),initialism,
MSD,Mapping support data; Malawi Dept. of Surveys; Mauritius Survey Dept.,initialism,
MSDO,Mapping Support District Office,initialism,
MSE,Mean square error,initialism,
MSEDB,Mapping Sciences Education Data Base,initialism,
MSIA,"Mapping Sciences Inst., Australia",initialism,
MSIRI,Mauritius Sugar Industry Research Inst.,initialism,
MSIS,Map Separates Information System; Model State Information System,initialism,
MSL,Mean sea level,initialism,
MSLS,Maine Society of Land Surveyors,initialism,
MSP,Multispectral photography,initialism,
MSPE,Missouri Society of Professional Engineers,initialism,
MSPS,Michigan Society of Professional Surveyors; Minnesota Society of Professional Surveyors,initialism,
MSR,Minimal Spatial Representation,initialism,
MSRLS,Michigan Society of Registered Land Surveyors,initialism,
MSRN,Michigan Spatial Reference  Network,initialism,
MSS,Multispectral Scanner; Maryland Society of Surveyors,initialism,
MST,Mountain Standard Time,initialism,
MSTD,Marine Science and Technology Division (Science Applications International Corporation),initialism,
MSTS,Map Separates Tracking System,initialism,
MSU,Microwave Sounding Unit,initialism,
MSV,Model and Scenario Visualization,initialism,
MT,Mountain; Montana,initialism,
MTA,Major Trading Areas (FCC),initialism,
MTAE,Maden Tetkik ve Arama Enstitutu (Turkey),initialism,
MTC,Ministerio de Transporte y Comunicaciones (Venezuela),initialism,
MTF,Modulation transfer function,initialism,
MTJ,Mendocino Triple Junction,initialism,
MTLT,Minimum Total Length Triangulation,initialism,
MTO,Ministry of Transportation (Ontario),initialism,
MTP,MSS Telemetry Processor,initialism,
MTPE,Mission to Planet Earth (NASA),initialism,
MTS,Mountains; Maine Technical Source,initialism,
MTSAT,Multi-Functional Transport Satellite (Japan),initialism,
MTT,Mobile Training Teams (USDMA),initialism,
MTU,Magnetic tape unit,initialism,
MUAC,Map Users Advisory Committee (ACMLA),initialism,
MUID,Map Unit ID (Identification),initialism,
MUIR,Map Unit Interpretations Record (US NRCS),initialism,
MURB,"Minister fur Umwelt, Raumordnung und Bauwesen (Saarland)",initialism,
MVE,Multi-View Editor,initialism,
MVI,Mapping for the Visually Impaired,initialism,
MVP,Moving vessel profiler,initialism,
MW,Megawatt,initialism,
MWDI,Master Water Data Index,initialism,
MWF,Map Window File,initialism,
MWRTK,Midwest Real Time Kinematic,initialism,
MWT,Minimum Weight Triangulation,initialism,
MaPKBS,Map Projection Knowledge-based System,initialism,Map KBS
Mass.,Massachusetts,initialism,
Mat-Su,Matanuska-Susitna Borough (Alaska),initialism,Mat - sU
McIDAS,Map-computer Interactive Data Access System,initialism,Mc I DAS
Md.,Maryland,initialism,
Me.,Maine,initialism,
Mi.,Mile(s),initialism,
Mich.,Michigan,initialism,
Mil.,Military,initialism,
Min.,Minute,acronym,
Min. E.,Mineral Engineer; Mining Engineer,initialism,Min E
Minn.,Minnesota,acronym,Minn
Miss.,Mississippi,acronym,
Mn/DOT,Minnesota Dept. of Transportation,initialism,Mn / DOT
Mo.,Missouri,initialism,Mo.
MoD,Ministry of Defence,initialism,MoD
MoRAP,Missouri Resource Assessment Partnership,initialism,MoRAP
Mont.,Montana,initialism,Mont.
Mpls.,Minneapolis,initialism,Mpls.
MrSID,Multiresolution Seamless Image Database,initialism,MrSID
Mt.,Mount; Mountain; Mont,initialism,Mt.
Mtn.,Mountain,initialism,Mtn.
MyCOE,"My Country, Our Earth",initialism,MyCOE
N,Norden = North,initialism,N
N-D,N-dimensional,initialism,N-D
N.,North,initialism,N.
N.C.,North Carolina,initialism,N.C.
N.D.,North Dakota,initialism,N.D.
N.G.,Nicholas Guerard,initialism,N.G.
N.H.,New Hampshire; New Haven,initialism,N.H.
N.J.,New Jersey,initialism,N.J.
N.O.,New Orleans,initialism,N.O.
N.W.,Niedrigwasser,initialism,N.W.
N.Y.,New York,initialism,N.Y.
N.Y.C.,New York City,initialism,N.Y.C.
N.Z.,New Zealand,initialism,N.Z.
NA,National Archives; National Atlas; Not available; Not applicable,initialism,
NABCI,North American Bird Conservation Initiative,initialism,NAB CI
NABGG,National Assn. for Black Geologists and Geophysicists,initialism,
NAC,NASA Advisory Council,acronym,
NACIS,North American Cartographic Information Society = Sociedad de Informacion Cartografica Norte Americana,acronym,
NACS,National Assn. of County Surveyors,acronym,
NACo,National Assn. of Counties,initialism,
NAD,North American Datum,acronym,
NAD 27,North American Datum of 1927,acronym,NAD 27
NAD 83,North American Datum of 1983,acronym,NAD 83
NADCON,North American Datum Conversion (NGS),acronym,NAD CON
NADEC,National Atlas Development Centre (Ghana),initialism,
NADO,National Assn. of Development Organizations,acronym,
NAFSMA,National Assn. of Flood and Stormwater Management Agencies,initialism,
NAGT,National Assn. of Geoscience Teachers,initialism,
NAHSC,National Automated Highway System Consortium,initialism,
NAICS,North American Industry Classification System,initialism,
NAIP,National Agriculture Imagery Program (USDA),initialism,
NAIS,National Atlas Information Service (Canada),acronym,
NALMS,North American Lake Management Society,initialism,
NALS,Nevada Assn. of Land Surveyors,initialism,
NAMCOR,National Petroleum Corporation of Namibia,initialism,
NAO,North Atlantic Oscillation,initialism,
NAP,Northern Affairs Program (Canada),acronym,
NAPA,National Academy of Public Administration,acronym,
NAPL,National Air Photo Library (Canada),initialism,
NAPP,National Aerial Photography Program (U.S.),initialism,NAPP
NARA,National Archives and Records Administration (U.S.),acronym,
NARC,National Association of Regional Councils,acronym,
NARL,"Naval Arctic Research Laboratory (Barrow, Alaska)",initialism,
NARS,National Archives and Records Service (U.S.),acronym,
NARSA,National Advanced Remote Sensing Applications Program,initialism,
NAS,National Academy of Sciences (U.S.); National Airspace System (U.S.),acronym,
NASA,National Aeronautics and Space Administration (U.S.),acronym,
NASBOG,National Assn. of State Boards of Geology,initialism,
NASDA,National Space Development Agency (Japan),acronym,
NASS,National Agricultural Statistics Service (USDA),acronym,
NAST,NPOESS Airborne Sounder Testbed,initialism,
NATM,New Austrian Tunnelling Method,initialism,
NATMAP,Div. of National Mapping (Australia),initialism,
NATMO,Indian National Atlas and Thematic Mapping Organization,initialism,
NATO,North Atlantic Treaty Organization,initialism,
NAUS,National Atlas of the United States,initialism,
NAVD,North American Vertical Datum,initialism,
NAVD 88,North American Vertical Datum 1988,initialism,NAVD 88
NAVOCEANO,Naval Oceanographic Office (U.S.),initialism,NAVO CEANO
NAVTECH,Navigation Technologies Corp.,acronym,NAVTECH
NAWQUA,"National Water Quality Assessment (Program, USGS)",initialism,
NB,Narrow band; New Brunswick,initialism,
NBFU,National Board of Fire Underwriters,initialism,
NBI,National Bridge Inventory (US),initialism,
NBII,National Biological Information Infrastructure,initialism,
NBMG,Nevada Bureau of Mines and Geology,initialism,
NBS,National Biological Survey (U.S.); National Bureau of Standards (U.S.); National Board of Survey = Maanmittaushallitus (Finland),initialism,
NBSM,National Bureau of Surveying and Mapping (China),initialism,
NBTR,Narrow band tape record(s or -er),initialism,
NC,North Carolina,initialism,
NC&GS,National Charting & Geodetic Survey,initialism,NC & GS
NCAP,National Collection of Aerial Photographs,initialism,N CAP
NCAR,National Center for Atmospheric Research (U.S.),initialism,N CAR
NCARB,National Council of Architectural Registration Boards,initialism,N CARB
NCC,National Cartographic Centre (Iran); National Commission for Cartography (Canada),initialism,
NCDCDS,National Committee for Digital Cartographic Standards (U.S.),initialism,
NCDOT,North Carolina Dept. of Transportation,initialism,NC DOT
NCDS,National Cartographic Data Standard,initialism,
NCDSB,National Cartographic Data Standard Base,initialism,
NCE,North Coast Engineering,initialism,
NCEE,National Council of Engineering Examiners,initialism,
NCEES,National Council of Examiners for Engineering and Surveying,initialism,
NCEP,National Centers for Environmental Prediction (US),initialism,
NCGA,National Computer Graphics Assn.,initialism,
NCGE,National Council for Geographic Education,initialism,
NCGIA,National Center for Geographic Information and Analysis,initialism,
NCGMP,National Cooperative Geologic Mapping Program (US),initialism,
NCGS,North Carolina Geological Survey,initialism,
NCHRP,National Cooperative Highway Research Program,initialism,
NCIC,National Cartographic Information Center (U.S.),initialism,
NCITS,National Committee for Information Technology Standards (USA),initialism,
NCMOC,Naval Central Meteorology and Oceanography Center (US),initialism,
NCMP,National Coastal Mapping Program (USCE),initialism,
NCR,National Capital Region,initialism,
NCRDS,National Coal Resources Data System,initialism,
NCRST,National Consortia on Remote Sensing in Transportation,initialism,
NCRST-F,National Consortia on Remote Sensing in Transportation - (Flows),initialism,NCRST - F
NCS,National Cartographic Standards,initialism,
NCSA,National Center for Supercomputer Applications,initialism,
NCSD,Nebraska Conservation and Survey Div.,initialism,
NCSME,Service des Mines et de l'Energie (New Caledonia),initialism,
NCSS,North Carolina Society of Surveyors,initialism,
ND,North Dakota,initialism,
NDAR,National Directory of Australian Resources,initialism,
NDCDB,National Digital Cartographic Data Base (USGS),initialism,
NDCS,National Digital Cartographic Standards,initialism,
NDF,Nevada Division of Forestry,initialism,
NDG,Northern Development Group Inc.,initialism,
NDGPS,National Differential GPS Network (or System) (US); Nationwide Differential GPS,initialism,
NDGS,North Dakota Geological Survey,initialism,
NDI,Nautical Data International Inc.,initialism,
NDIIPP,"National Digital Information Infrastructure and Preservation Program

(Library of Congress)",initialism,
NDL,National Digital Library (Library of Congress),initialism,
NDLS,Nauru Directorate of Lands and Survey,initialism,
NDNRC,Nevada Dept. of Natural Resources and Conservation,initialism,
NDOT,Nevada Dept. of Transportation,initialism,
NDS,National Decision Systems,initialism,
NDSL,Nevada Division of State Lands,initialism,
NDSPLS,North Dakota Society of Professional Land Surveyors,initialism,
NDVI,Normalized Difference Vegetation Index,initialism,
NE,Northeast; Nebraska,initialism,
NEAR,Near Earth Asteroid Rendezvous,initialism,
NED,National Elevation Dataset (earlier sometimes called Database)(USGS),initialism,
NEDSS,National Electronic Disease Surveillance System (US),initialism,
NEHRP,National Earthquake Hazards Reduction Program,initialism,
NEIC,National Earthquake Information Center (USGS),initialism,
NEIS,National Earthquake Information Service,initialism,
NEL,National Exploitation Laboratory,initialism,
NEMO,North East Map Organization,initialism,
NEPAN,National Environmental Policy Act; National Environmental Protection Act,acronym,
NERDD,Networked Electronic Report & Document Distribution,acronym,
NERL,North East Research Libraries (US),initialism,
NES,New England Section (ACSM),initialism,
NESACSM,New England Section ACSM,initialism,
NESDIS,National Environmental Satellite Data and Information Service,acronym,NES DIS
NESS,National Environmental Satellite Service,acronym,
NESTA,National Earth Science Teachers Assn.,acronym,
NET,New Electronic Titles (US GPO),acronym,
NETR,"Nationwide Environmental Title Research, LLC",acronym,NET R
NEXRAD,Next Generation Weather Radar,acronym,NEX RAD
NE[Delta],Exoatmospheric Noise Equivalent Reflectances,initialism,NE (Delta )
NF,Newfoundland,initialism,
NFAP,National Forest Applications Program,initialism,
NFDRS,National Fire Danger Rating System,initialism,
